 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
  63.00  0.6240E-04  0.1035E-04  0.4668E-05
  64.00  0.6089E-04  0.1176E-04  0.4057E-05
  65.00  0.6380E-04  0.1108E-04  0.4466E-05
  66.00  0.6307E-04  0.1218E-04  0.4047E-05
  67.00  0.6513E-04  0.1210E-04  0.4174E-05
  68.00  0.6644E-04  0.1239E-04  0.4133E-05
  69.00  0.6850E-04  0.1244E-04  0.4162E-05
  70.00  0.7386E-04  0.1154E-04  0.4614E-05
  71.00  0.7409E-04  0.1261E-04  0.4350E-05
  72.00  0.7696E-04  0.1281E-04  0.4410E-05
  73.00  0.8819E-04  0.1049E-04  0.5235E-05
  74.00  0.9326E-04  0.1023E-04  0.5358E-05
  75.00  0.1002E-03  0.9444E-05  0.5573E-05
  76.00  0.1054E-03  0.9049E-05  0.5603E-05
  77.00  0.1104E-03  0.8528E-05  0.5570E-05
  78.00  0.1372E-03  0.3037E-05  0.6479E-05
  79.00  0.1629E-03 -0.1832E-05  0.6950E-05
  80.00  0.9151E-04  0.1079E-04  0.4045E-05
  81.00  0.7002E-04  0.1237E-04  0.3226E-05
  82.00  0.5740E-04  0.1149E-04  0.2714E-05
  83.00  0.4644E-04  0.9730E-05  0.2226E-05
  84.00  0.3563E-04  0.7618E-05  0.1724E-05
  85.00  0.2521E-04  0.5460E-05  0.1229E-05
  86.00  0.1615E-04  0.3494E-05  0.7841E-06
  87.00  0.8995E-05  0.1934E-05  0.4318E-06
  88.00  0.4066E-05  0.8612E-06  0.1903E-06
  89.00  0.1248E-05  0.2560E-06  0.5441E-07
 E(MeV)=  0.2659
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3036E-04  0.2049E-05  0.1487E-06
   6.00  0.3060E-04  0.2475E-05  0.2156E-06
   7.00  0.3085E-04  0.2908E-05  0.2956E-06
   8.00  0.3109E-04  0.3345E-05  0.3886E-06
   9.00  0.3134E-04  0.3788E-05  0.4952E-06
  10.00  0.3160E-04  0.4236E-05  0.6154E-06
  11.00  0.3187E-04  0.4688E-05  0.7493E-06
  12.00  0.3213E-04  0.5145E-05  0.8977E-06
  13.00  0.3241E-04  0.5605E-05  0.1060E-05
  14.00  0.3269E-04  0.6070E-05  0.1235E-05
  15.00  0.3297E-04  0.6538E-05  0.1426E-05
  16.00  0.3327E-04  0.7009E-05  0.1631E-05
  17.00  0.3357E-04  0.7482E-05  0.1850E-05
  18.00  0.3388E-04  0.7956E-05  0.2083E-05
  19.00  0.3420E-04  0.8432E-05  0.2330E-05
  20.00  0.3453E-04  0.8909E-05  0.2590E-05
  21.00  0.3487E-04  0.9381E-05  0.2863E-05
  22.00  0.3522E-04  0.9854E-05  0.3149E-05
  23.00  0.3559E-04  0.1033E-04  0.3448E-05
  24.00  0.3597E-04  0.1078E-04  0.3774E-05
  25.00  0.3637E-04  0.1123E-04  0.4118E-05
  26.00  0.3678E-04  0.1167E-04  0.4463E-05
  27.00  0.3722E-04  0.1211E-04  0.4827E-05
  28.00  0.3767E-04  0.1252E-04  0.5195E-05
  29.00  0.3814E-04  0.1292E-04  0.5567E-05
  30.00  0.3864E-04  0.1330E-04  0.5944E-05
  31.00  0.3915E-04  0.1366E-04  0.6323E-05
  32.00  0.3970E-04  0.1399E-04  0.6703E-05
  33.00  0.4027E-04  0.1429E-04  0.7079E-05
  34.00  0.4086E-04  0.1457E-04  0.7449E-05
  35.00  0.4149E-04  0.1481E-04  0.7809E-05
  36.00  0.4215E-04  0.1501E-04  0.8156E-05
  37.00  0.4284E-04  0.1516E-04  0.8483E-05
  38.00  0.4355E-04  0.1529E-04  0.8791E-05
  39.00  0.4428E-04  0.1538E-04  0.9056E-05
  40.00  0.4503E-04  0.1545E-04  0.9271E-05
  41.00  0.4574E-04  0.1551E-04  0.9406E-05
  42.00  0.4678E-04  0.1517E-04  0.9903E-05
  43.00  0.4738E-04  0.1529E-04  0.9808E-05
  44.00  0.4817E-04  0.1517E-04  0.9917E-05
  45.00  0.4893E-04  0.1502E-04  0.9956E-05
  46.00  0.4971E-04  0.1481E-04  0.9999E-05
  47.00  0.5116E-04  0.1395E-04  0.1056E-04
  48.00  0.5174E-04  0.1391E-04  0.1029E-04
  49.00  0.5167E-04  0.1448E-04  0.9460E-05
  50.00  0.5375E-04  0.1324E-04  0.1015E-04
  51.00  0.5426E-04  0.1347E-04  0.9610E-05
  52.00  0.5693E-04  0.1218E-04  0.1033E-04
  53.00  0.5611E-04  0.1379E-04  0.8851E-05
  54.00  0.5783E-04  0.1363E-04  0.8852E-05
  55.00  0.6007E-04  0.1317E-04  0.9118E-05
  56.00  0.6104E-04  0.1325E-04  0.8899E-05
  57.00  0.6149E-04  0.1271E-04  0.8633E-05
  58.00  0.5857E-04  0.1268E-04  0.6900E-05
  59.00  0.5843E-04  0.1003E-04  0.5185E-05
  60.00  0.5831E-04  0.1040E-04  0.4173E-05
  61.00  0.5889E-04  0.1079E-04  0.4060E-05
  62.00  0.6127E-04  0.1012E-04  0.4514E-05
  63.00  0.6069E-04  0.1099E-04  0.4151E-05
  64.00  0.6280E-04  0.1049E-04  0.4483E-05
  65.00  0.6161E-04  0.1162E-04  0.4013E-05
  66.00  0.6394E-04  0.1119E-04  0.4275E-05
  67.00  0.6744E-04  0.1039E-04  0.4681E-05
  68.00  0.7045E-04  0.9948E-05  0.4890E-05
  69.00  0.7168E-04  0.1029E-04  0.4739E-05
  70.00  0.7167E-04  0.1131E-04  0.4425E-05
  71.00  0.7344E-04  0.1175E-04  0.4365E-05
  72.00  0.7613E-04  0.1199E-04  0.4392E-05
  73.00  0.9171E-04  0.8365E-05  0.5609E-05
  74.00  0.8369E-04  0.1205E-04  0.4582E-05
  75.00  0.9274E-04  0.1072E-04  0.5014E-05
  76.00  0.1032E-03  0.9164E-05  0.5417E-05
  77.00  0.1261E-03  0.4810E-05  0.6347E-05
  78.00  0.1268E-03  0.5593E-05  0.5946E-05
  79.00  0.2822E-03 -0.2417E-04  0.1141E-04
  80.00  0.1064E-03  0.9446E-05  0.4496E-05
  81.00  0.7822E-04  0.1275E-04  0.3474E-05
  82.00  0.6446E-04  0.1247E-04  0.2957E-05
  83.00  0.5343E-04  0.1097E-04  0.2496E-05
  84.00  0.4244E-04  0.8918E-05  0.2003E-05
  85.00  0.3128E-04  0.6680E-05  0.1492E-05
  86.00  0.2105E-04  0.4499E-05  0.1005E-05
  87.00  0.1241E-04  0.2646E-05  0.5914E-06
  88.00  0.6036E-05  0.1277E-05  0.2860E-06
  89.00  0.2106E-05  0.4420E-06  0.9945E-07
 E(MeV)=  0.2885
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3008E-04  0.2098E-05  0.1569E-06
   6.00  0.3032E-04  0.2535E-05  0.2276E-06
   7.00  0.3055E-04  0.2978E-05  0.3119E-06
   8.00  0.3080E-04  0.3425E-05  0.4102E-06
   9.00  0.3104E-04  0.3878E-05  0.5226E-06
  10.00  0.3128E-04  0.4335E-05  0.6494E-06
  11.00  0.3153E-04  0.4797E-05  0.7908E-06
  12.00  0.3179E-04  0.5264E-05  0.9466E-06
  13.00  0.3204E-04  0.5734E-05  0.1118E-05
  14.00  0.3230E-04  0.6207E-05  0.1304E-05
  15.00  0.3257E-04  0.6683E-05  0.1505E-05
  16.00  0.3284E-04  0.7162E-05  0.1721E-05
  17.00  0.3312E-04  0.7643E-05  0.1952E-05
  18.00  0.3340E-04  0.8124E-05  0.2197E-05
  19.00  0.3369E-04  0.8608E-05  0.2457E-05
  20.00  0.3399E-04  0.9087E-05  0.2731E-05
  21.00  0.3430E-04  0.9568E-05  0.3019E-05
  22.00  0.3462E-04  0.1004E-04  0.3319E-05
  23.00  0.3495E-04  0.1051E-04  0.3633E-05
  24.00  0.3530E-04  0.1097E-04  0.3977E-05
  25.00  0.3566E-04  0.1141E-04  0.4343E-05
  26.00  0.3603E-04  0.1185E-04  0.4707E-05
  27.00  0.3643E-04  0.1227E-04  0.5089E-05
  28.00  0.3684E-04  0.1267E-04  0.5474E-05
  29.00  0.3727E-04  0.1306E-04  0.5862E-05
  30.00  0.3773E-04  0.1343E-04  0.6254E-05
  31.00  0.3821E-04  0.1377E-04  0.6647E-05
  32.00  0.3872E-04  0.1408E-04  0.7038E-05
  33.00  0.3926E-04  0.1435E-04  0.7424E-05
  34.00  0.3983E-04  0.1459E-04  0.7801E-05
  35.00  0.4043E-04  0.1480E-04  0.8167E-05
  36.00  0.4107E-04  0.1496E-04  0.8515E-05
  37.00  0.4174E-04  0.1509E-04  0.8840E-05
  38.00  0.4245E-04  0.1516E-04  0.9133E-05
  39.00  0.4319E-04  0.1522E-04  0.9383E-05
  40.00  0.4401E-04  0.1514E-04  0.9687E-05
  41.00  0.4480E-04  0.1511E-04  0.9852E-05
  42.00  0.4555E-04  0.1511E-04  0.9902E-05
  43.00  0.4629E-04  0.1508E-04  0.9912E-05
  44.00  0.4731E-04  0.1470E-04  0.1020E-04
  45.00  0.4800E-04  0.1461E-04  0.1011E-04
  46.00  0.4875E-04  0.1439E-04  0.1008E-04
  47.00  0.4937E-04  0.1425E-04  0.9903E-05
  48.00  0.5021E-04  0.1388E-04  0.9882E-05
  49.00  0.5068E-04  0.1384E-04  0.9522E-05
  50.00  0.5198E-04  0.1313E-04  0.9694E-05
  51.00  0.5256E-04  0.1314E-04  0.9240E-05
  52.00  0.5486E-04  0.1193E-04  0.9777E-05
  53.00  0.5464E-04  0.1293E-04  0.8659E-05
  54.00  0.5686E-04  0.1236E-04  0.8866E-05
  55.00  0.5777E-04  0.1295E-04  0.8355E-05
  56.00  0.6055E-04  0.1215E-04  0.8839E-05
  57.00  0.6162E-04  0.1187E-04  0.8673E-05
  58.00  0.5866E-04  0.1255E-04  0.6911E-05
  59.00  0.5789E-04  0.1044E-04  0.4994E-05
  60.00  0.6094E-04  0.8860E-05  0.4870E-05
  61.00  0.6008E-04  0.1010E-04  0.4238E-05
  62.00  0.6038E-04  0.1056E-04  0.4080E-05
  63.00  0.6262E-04  0.9913E-05  0.4495E-05
  64.00  0.6175E-04  0.1080E-04  0.4141E-05
  65.00  0.6296E-04  0.1067E-04  0.4271E-05
  66.00  0.6221E-04  0.1150E-04  0.3947E-05
  67.00  0.6410E-04  0.1121E-04  0.4123E-05
  68.00  0.6610E-04  0.1099E-04  0.4251E-05
  69.00  0.6682E-04  0.1132E-04  0.4109E-05
  70.00  0.6870E-04  0.1143E-04  0.4127E-05
  71.00  0.7386E-04  0.1054E-04  0.4507E-05
  72.00  0.7922E-04  0.9830E-05  0.4804E-05
  73.00  0.8919E-04  0.7953E-05  0.5440E-05
  74.00  0.8166E-04  0.1148E-04  0.4456E-05
  75.00  0.9848E-04  0.8145E-05  0.5439E-05
  76.00  0.9716E-04  0.9839E-05  0.5022E-05
  77.00  0.1112E-03  0.7714E-05  0.5514E-05
  78.00  0.1312E-03  0.4523E-05  0.6090E-05
  79.00  0.1994E-03 -0.7772E-05  0.8232E-05
  80.00  0.1249E-03  0.6994E-05  0.5050E-05
  81.00  0.8656E-04  0.1272E-04  0.3707E-05
  82.00  0.7110E-04  0.1324E-04  0.3172E-05
  83.00  0.6023E-04  0.1210E-04  0.2745E-05
  84.00  0.4944E-04  0.1022E-04  0.2284E-05
  85.00  0.3799E-04  0.7993E-05  0.1774E-05
  86.00  0.2680E-04  0.5661E-05  0.1259E-05
  87.00  0.1673E-04  0.3535E-05  0.7886E-06
  88.00  0.8741E-05  0.1841E-05  0.4139E-06
  89.00  0.3403E-05  0.7156E-06  0.1691E-06
 E(MeV)=  0.3130
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.2974E-04  0.2149E-05  0.1659E-06
   6.00  0.2997E-04  0.2597E-05  0.2406E-06
   7.00  0.3020E-04  0.3050E-05  0.3298E-06
   8.00  0.3043E-04  0.3508E-05  0.4336E-06
   9.00  0.3066E-04  0.3971E-05  0.5526E-06
  10.00  0.3089E-04  0.4439E-05  0.6867E-06
  11.00  0.3113E-04  0.4911E-05  0.8363E-06
  12.00  0.3137E-04  0.5386E-05  0.1001E-05
  13.00  0.3161E-04  0.5867E-05  0.1182E-05
  14.00  0.3186E-04  0.6349E-05  0.1378E-05
  15.00  0.3210E-04  0.6834E-05  0.1591E-05
  16.00  0.3235E-04  0.7321E-05  0.1819E-05
  17.00  0.3262E-04  0.7809E-05  0.2063E-05
  18.00  0.3287E-04  0.8298E-05  0.2322E-05
  19.00  0.3314E-04  0.8786E-05  0.2596E-05
  20.00  0.3342E-04  0.9274E-05  0.2885E-05
  21.00  0.3370E-04  0.9755E-05  0.3190E-05
  22.00  0.3399E-04  0.1024E-04  0.3506E-05
  23.00  0.3429E-04  0.1070E-04  0.3835E-05
  24.00  0.3459E-04  0.1116E-04  0.4197E-05
  25.00  0.3491E-04  0.1160E-04  0.4591E-05
  26.00  0.3525E-04  0.1202E-04  0.4974E-05
  27.00  0.3560E-04  0.1244E-04  0.5377E-05
  28.00  0.3597E-04  0.1283E-04  0.5780E-05
  29.00  0.3637E-04  0.1320E-04  0.6185E-05
  30.00  0.3678E-04  0.1354E-04  0.6593E-05
  31.00  0.3722E-04  0.1386E-04  0.6998E-05
  32.00  0.3769E-04  0.1415E-04  0.7402E-05
  33.00  0.3819E-04  0.1439E-04  0.7796E-05
  34.00  0.3872E-04  0.1461E-04  0.8178E-05
  35.00  0.3930E-04  0.1477E-04  0.8547E-05
  36.00  0.3993E-04  0.1489E-04  0.8896E-05
  37.00  0.4059E-04  0.1497E-04  0.9223E-05
  38.00  0.4131E-04  0.1499E-04  0.9530E-05
  39.00  0.4208E-04  0.1496E-04  0.9798E-05
  40.00  0.4287E-04  0.1490E-04  0.1001E-04
  41.00  0.4368E-04  0.1485E-04  0.1012E-04
  42.00  0.4475E-04  0.1448E-04  0.1050E-04
  43.00  0.4543E-04  0.1453E-04  0.1032E-04
  44.00  0.4610E-04  0.1454E-04  0.1011E-04
  45.00  0.4729E-04  0.1398E-04  0.1044E-04
  46.00  0.4888E-04  0.1298E-04  0.1109E-04
  47.00  0.4854E-04  0.1376E-04  0.9965E-05
  48.00  0.4900E-04  0.1369E-04  0.9618E-05
  49.00  0.5233E-04  0.1107E-04  0.1145E-04
  50.00  0.5045E-04  0.1301E-04  0.9263E-05
  51.00  0.5166E-04  0.1236E-04  0.9272E-05
  52.00  0.5511E-04  0.1011E-04  0.1052E-04
  53.00  0.5394E-04  0.1169E-04  0.8829E-05
  54.00  0.5687E-04  0.1046E-04  0.9379E-05
  55.00  0.5968E-04  0.9750E-05  0.9675E-05
  56.00  0.5986E-04  0.1102E-04  0.8734E-05
  57.00  0.6030E-04  0.1169E-04  0.8149E-05
  58.00  0.5921E-04  0.1194E-04  0.7083E-05
  59.00  0.5877E-04  0.9958E-05  0.5339E-05
  60.00  0.5909E-04  0.9902E-05  0.4059E-05
  61.00  0.6312E-04  0.8443E-05  0.4939E-05
  62.00  0.6195E-04  0.9770E-05  0.4291E-05
  63.00  0.6189E-04  0.1030E-04  0.4095E-05
  64.00  0.6372E-04  0.9787E-05  0.4425E-05
  65.00  0.6264E-04  0.1064E-04  0.4081E-05
  66.00  0.6341E-04  0.1065E-04  0.4127E-05
  67.00  0.6676E-04  0.9628E-05  0.4593E-05
  68.00  0.6729E-04  0.9923E-05  0.4473E-05
  69.00  0.6791E-04  0.1019E-04  0.4331E-05
  70.00  0.7307E-04  0.8992E-05  0.4779E-05
  71.00  0.7140E-04  0.1041E-04  0.4301E-05
  72.00  0.7805E-04  0.9110E-05  0.4764E-05
  73.00  0.7936E-04  0.9758E-05  0.4597E-05
  74.00  0.8102E-04  0.1041E-04  0.4463E-05
  75.00  0.9106E-04  0.8899E-05  0.4944E-05
  76.00  0.1055E-03  0.6622E-05  0.5555E-05
  77.00  0.1136E-03  0.6245E-05  0.5622E-05
  78.00  0.1220E-03  0.5881E-05  0.5637E-05
  79.00  0.1782E-03 -0.3842E-05  0.7390E-05
  80.00  0.1488E-03  0.3083E-05  0.5765E-05
  81.00  0.9524E-04  0.1217E-04  0.3930E-05
  82.00  0.7712E-04  0.1371E-04  0.3352E-05
  83.00  0.6649E-04  0.1305E-04  0.2967E-05
  84.00  0.5634E-04  0.1146E-04  0.2550E-05
  85.00  0.4504E-04  0.9345E-05  0.2066E-05
  86.00  0.3332E-04  0.6958E-05  0.1542E-05
  87.00  0.2201E-04  0.4604E-05  0.1029E-05
  88.00  0.1234E-04  0.2579E-05  0.5876E-06
  89.00  0.5340E-05  0.1102E-05  0.2754E-06
 E(MeV)=  0.3396
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.2941E-04  0.2203E-05  0.1757E-06
   6.00  0.2963E-04  0.2662E-05  0.2548E-06
   7.00  0.2984E-04  0.3125E-05  0.3493E-06
   8.00  0.3006E-04  0.3595E-05  0.4594E-06
   9.00  0.3028E-04  0.4069E-05  0.5855E-06
  10.00  0.3050E-04  0.4548E-05  0.7276E-06
  11.00  0.3072E-04  0.5031E-05  0.8863E-06
  12.00  0.3094E-04  0.5518E-05  0.1061E-05
  13.00  0.3116E-04  0.6008E-05  0.1252E-05
  14.00  0.3139E-04  0.6500E-05  0.1461E-05
  15.00  0.3161E-04  0.6995E-05  0.1686E-05
  16.00  0.3184E-04  0.7490E-05  0.1927E-05
  17.00  0.3207E-04  0.7987E-05  0.2186E-05
  18.00  0.3230E-04  0.8481E-05  0.2461E-05
  19.00  0.3254E-04  0.8979E-05  0.2751E-05
  20.00  0.3278E-04  0.9466E-05  0.3057E-05
  21.00  0.3304E-04  0.9954E-05  0.3378E-05
  22.00  0.3329E-04  0.1044E-04  0.3711E-05
  23.00  0.3356E-04  0.1091E-04  0.4059E-05
  24.00  0.3383E-04  0.1136E-04  0.4440E-05
  25.00  0.3412E-04  0.1179E-04  0.4864E-05
  26.00  0.3443E-04  0.1221E-04  0.5271E-05
  27.00  0.3475E-04  0.1261E-04  0.5694E-05
  28.00  0.3508E-04  0.1298E-04  0.6118E-05
  29.00  0.3543E-04  0.1334E-04  0.6542E-05
  30.00  0.3581E-04  0.1366E-04  0.6966E-05
  31.00  0.3620E-04  0.1396E-04  0.7387E-05
  32.00  0.3663E-04  0.1421E-04  0.7801E-05
  33.00  0.3709E-04  0.1443E-04  0.8202E-05
  34.00  0.3759E-04  0.1460E-04  0.8588E-05
  35.00  0.3814E-04  0.1474E-04  0.8952E-05
  36.00  0.3873E-04  0.1482E-04  0.9288E-05
  37.00  0.3937E-04  0.1485E-04  0.9593E-05
  38.00  0.4007E-04  0.1485E-04  0.9854E-05
  39.00  0.4084E-04  0.1478E-04  0.1011E-04
  40.00  0.4176E-04  0.1455E-04  0.1045E-04
  41.00  0.4264E-04  0.1439E-04  0.1059E-04
  42.00  0.4352E-04  0.1425E-04  0.1062E-04
  43.00  0.4440E-04  0.1411E-04  0.1056E-04
  44.00  0.4543E-04  0.1380E-04  0.1061E-04
  45.00  0.4610E-04  0.1382E-04  0.1026E-04
  46.00  0.4730E-04  0.1324E-04  0.1044E-04
  47.00  0.4856E-04  0.1254E-04  0.1066E-04
  48.00  0.4906E-04  0.1247E-04  0.1025E-04
  49.00  0.4965E-04  0.1224E-04  0.9949E-05
  50.00  0.5006E-04  0.1212E-04  0.9498E-05
  51.00  0.5042E-04  0.1208E-04  0.8961E-05
  52.00  0.5276E-04  0.1054E-04  0.9586E-05
  53.00  0.5277E-04  0.1104E-04  0.8639E-05
  54.00  0.5554E-04  0.9746E-05  0.9119E-05
  55.00  0.5508E-04  0.1117E-04  0.7806E-05
  56.00  0.5795E-04  0.1063E-04  0.8107E-05
  57.00  0.6137E-04  0.9742E-05  0.8671E-05
  58.00  0.5953E-04  0.1120E-04  0.7194E-05
  59.00  0.6003E-04  0.9160E-05  0.5862E-05
  60.00  0.6007E-04  0.9273E-05  0.4219E-05
  61.00  0.6109E-04  0.9574E-05  0.4100E-05
  62.00  0.6502E-04  0.8207E-05  0.4886E-05
  63.00  0.6377E-04  0.9444E-05  0.4290E-05
  64.00  0.6331E-04  0.1006E-04  0.4058E-05
  65.00  0.6466E-04  0.9676E-05  0.4310E-05
  66.00  0.6737E-04  0.8738E-05  0.4769E-05
  67.00  0.6378E-04  0.1061E-04  0.3978E-05
  68.00  0.6547E-04  0.1024E-04  0.4151E-05
  69.00  0.6702E-04  0.9984E-05  0.4216E-05
  70.00  0.6709E-04  0.1048E-04  0.4028E-05
  71.00  0.6835E-04  0.1063E-04  0.3997E-05
  72.00  0.7184E-04  0.1016E-04  0.4177E-05
  73.00  0.7712E-04  0.9331E-05  0.4458E-05
  74.00  0.7796E-04  0.1006E-04  0.4278E-05
  75.00  0.8289E-04  0.9799E-05  0.4405E-05
  76.00  0.9064E-04  0.9056E-05  0.4654E-05
  77.00  0.1107E-03  0.5743E-05  0.5469E-05
  78.00  0.1354E-03  0.2057E-05  0.6223E-05
  79.00  0.1592E-03 -0.7740E-06  0.6635E-05
  80.00  0.1805E-03 -0.2703E-05  0.6717E-05
  81.00  0.1045E-03  0.1103E-04  0.4153E-05
  82.00  0.8235E-04  0.1384E-04  0.3490E-05
  83.00  0.7188E-04  0.1377E-04  0.3148E-05
  84.00  0.6271E-04  0.1256E-04  0.2792E-05
  85.00  0.5212E-04  0.1067E-04  0.2358E-05
  86.00  0.4039E-04  0.8335E-05  0.1849E-05
  87.00  0.2821E-04  0.5845E-05  0.1310E-05
  88.00  0.1695E-04  0.3511E-05  0.8111E-06
  89.00  0.8188E-05  0.1621E-05  0.4321E-06
 E(MeV)=  0.3684
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.2904E-04  0.2257E-05  0.1862E-06
   6.00  0.2925E-04  0.2727E-05  0.2701E-06
   7.00  0.2946E-04  0.3202E-05  0.3704E-06
   8.00  0.2967E-04  0.3684E-05  0.4873E-06
   9.00  0.2988E-04  0.4169E-05  0.6211E-06
  10.00  0.3009E-04  0.4660E-05  0.7721E-06
  11.00  0.3029E-04  0.5155E-05  0.9401E-06
  12.00  0.3051E-04  0.5653E-05  0.1126E-05
  13.00  0.3070E-04  0.6154E-05  0.1330E-05
  14.00  0.3091E-04  0.6657E-05  0.1551E-05
  15.00  0.3111E-04  0.7162E-05  0.1790E-05
  16.00  0.3130E-04  0.7666E-05  0.2047E-05
  17.00  0.3151E-04  0.8170E-05  0.2322E-05
  18.00  0.3171E-04  0.8673E-05  0.2612E-05
  19.00  0.3191E-04  0.9175E-05  0.2920E-05
  20.00  0.3212E-04  0.9668E-05  0.3244E-05
  21.00  0.3233E-04  0.1015E-04  0.3583E-05
  22.00  0.3254E-04  0.1064E-04  0.3937E-05
  23.00  0.3276E-04  0.1111E-04  0.4303E-05
  24.00  0.3300E-04  0.1156E-04  0.4703E-05
  25.00  0.3325E-04  0.1198E-04  0.5163E-05
  26.00  0.3351E-04  0.1239E-04  0.5594E-05
  27.00  0.3378E-04  0.1277E-04  0.6041E-05
  28.00  0.3408E-04  0.1314E-04  0.6487E-05
  29.00  0.3439E-04  0.1346E-04  0.6931E-05
  30.00  0.3473E-04  0.1376E-04  0.7373E-05
  31.00  0.3509E-04  0.1402E-04  0.7810E-05
  32.00  0.3550E-04  0.1425E-04  0.8237E-05
  33.00  0.3594E-04  0.1443E-04  0.8649E-05
  34.00  0.3640E-04  0.1457E-04  0.9040E-05
  35.00  0.3692E-04  0.1465E-04  0.9407E-05
  36.00  0.3750E-04  0.1468E-04  0.9747E-05
  37.00  0.3813E-04  0.1466E-04  0.1005E-04
  38.00  0.3884E-04  0.1459E-04  0.1031E-04
  39.00  0.3961E-04  0.1448E-04  0.1052E-04
  40.00  0.4043E-04  0.1434E-04  0.1066E-04
  41.00  0.4132E-04  0.1417E-04  0.1073E-04
  42.00  0.4256E-04  0.1362E-04  0.1112E-04
  43.00  0.4350E-04  0.1346E-04  0.1101E-04
  44.00  0.4438E-04  0.1336E-04  0.1074E-04
  45.00  0.4553E-04  0.1296E-04  0.1073E-04
  46.00  0.4720E-04  0.1202E-04  0.1118E-04
  47.00  0.4728E-04  0.1254E-04  0.1018E-04
  48.00  0.4822E-04  0.1212E-04  0.1005E-04
  49.00  0.4843E-04  0.1223E-04  0.9425E-05
  50.00  0.5049E-04  0.1070E-04  0.1017E-04
  51.00  0.5273E-04  0.9094E-05  0.1085E-04
  52.00  0.5086E-04  0.1086E-04  0.8790E-05
  53.00  0.5144E-04  0.1074E-04  0.8256E-05
  54.00  0.5488E-04  0.8769E-05  0.9142E-05
  55.00  0.5485E-04  0.9721E-05  0.8030E-05
  56.00  0.5578E-04  0.1041E-04  0.7385E-05
  57.00  0.6006E-04  0.9167E-05  0.8237E-05
  58.00  0.5883E-04  0.1087E-04  0.6930E-05
  59.00  0.5888E-04  0.9676E-05  0.5562E-05
  60.00  0.6101E-04  0.8560E-05  0.4409E-05
  61.00  0.6222E-04  0.8889E-05  0.4244E-05
  62.00  0.6320E-04  0.9215E-05  0.4102E-05
  63.00  0.6624E-04  0.8302E-05  0.4615E-05
  64.00  0.6552E-04  0.9143E-05  0.4246E-05
  65.00  0.6923E-04  0.7663E-05  0.5003E-05
  66.00  0.6554E-04  0.9561E-05  0.4177E-05
  67.00  0.6586E-04  0.9592E-05  0.4198E-05
  68.00  0.7073E-04  0.7840E-05  0.4925E-05
  69.00  0.7155E-04  0.7850E-05  0.4853E-05
  70.00  0.7256E-04  0.7962E-05  0.4762E-05
  71.00  0.7063E-04  0.9186E-05  0.4299E-05
  72.00  0.7021E-04  0.9884E-05  0.4053E-05
  73.00  0.7322E-04  0.9574E-05  0.4148E-05
  74.00  0.8563E-04  0.6752E-05  0.4966E-05
  75.00  0.7957E-04  0.9441E-05  0.4219E-05
  76.00  0.8873E-04  0.8207E-05  0.4574E-05
  77.00  0.9629E-04  0.7737E-05  0.4717E-05
  78.00  0.1331E-03  0.1319E-05  0.6113E-05
  79.00  0.1607E-03 -0.2059E-05  0.6667E-05
  80.00  0.2228E-03 -0.1081E-04  0.7997E-05
  81.00  0.1149E-03  0.9216E-05  0.4390E-05
  82.00  0.8679E-04  0.1360E-04  0.3589E-05
  83.00  0.7612E-04  0.1419E-04  0.3284E-05
  84.00  0.6819E-04  0.1343E-04  0.3001E-05
  85.00  0.5884E-04  0.1188E-04  0.2631E-05
  86.00  0.4768E-04  0.9731E-05  0.2164E-05
  87.00  0.3519E-04  0.7212E-05  0.1628E-05
  88.00  0.2264E-04  0.4633E-05  0.1089E-05
  89.00  0.1250E-04  0.2238E-05  0.6607E-06
 E(MeV)=  0.3997
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
