 all D ~ (p/mc)^2/t (sec^-1)
 E(MeV)=  0.1000
  alpha0   Daa         Dap         Dpp
  19.00  0.4033E-04  0.7216E-05  0.1522E-05
  20.00  0.4091E-04  0.7657E-05  0.1705E-05
  21.00  0.4151E-04  0.8108E-05  0.1885E-05
  22.00  0.4213E-04  0.8568E-05  0.2068E-05
  23.00  0.4278E-04  0.9035E-05  0.2261E-05
  24.00  0.4346E-04  0.9509E-05  0.2464E-05
  25.00  0.4415E-04  0.9991E-05  0.2678E-05
  26.00  0.4487E-04  0.1048E-04  0.2905E-05
  27.00  0.4562E-04  0.1097E-04  0.3139E-05
  28.00  0.4640E-04  0.1146E-04  0.3385E-05
  29.00  0.4721E-04  0.1197E-04  0.3640E-05
  30.00  0.4805E-04  0.1247E-04  0.3903E-05
  31.00  0.4890E-04  0.1298E-04  0.4177E-05
  32.00  0.4980E-04  0.1350E-04  0.4458E-05
  33.00  0.5072E-04  0.1401E-04  0.4748E-05
  34.00  0.5167E-04  0.1452E-04  0.5042E-05
  35.00  0.5264E-04  0.1504E-04  0.5347E-05
  36.00  0.5366E-04  0.1556E-04  0.5656E-05
  37.00  0.5469E-04  0.1607E-04  0.5969E-05
  38.00  0.5576E-04  0.1658E-04  0.6283E-05
  39.00  0.5683E-04  0.1709E-04  0.6605E-05
  40.00  0.5793E-04  0.1760E-04  0.6915E-05
  41.00  0.5907E-04  0.1805E-04  0.7269E-05
  42.00  0.6013E-04  0.1857E-04  0.7541E-05
  43.00  0.6124E-04  0.1901E-04  0.7867E-05
  44.00  0.6228E-04  0.1945E-04  0.8155E-05
  45.00  0.6328E-04  0.1984E-04  0.8451E-05
  46.00  0.6413E-04  0.2022E-04  0.8684E-05
  47.00  0.6500E-04  0.2041E-04  0.9016E-05
  48.00  0.6561E-04  0.2055E-04  0.9261E-05
  49.00  0.6578E-04  0.2077E-04  0.9290E-05
  50.00  0.6580E-04  0.2068E-04  0.9393E-05
  51.00  0.6561E-04  0.2023E-04  0.9518E-05
  52.00  0.6478E-04  0.1971E-04  0.9383E-05
  53.00  0.6327E-04  0.1903E-04  0.8972E-05
  54.00  0.6172E-04  0.1773E-04  0.8570E-05
  55.00  0.5955E-04  0.1635E-04  0.7757E-05
  56.00  0.5656E-04  0.1537E-04  0.6309E-05
  57.00  0.5479E-04  0.1403E-04  0.5072E-05
  58.00  0.5442E-04  0.1309E-04  0.4148E-05
  59.00  0.5558E-04  0.1296E-04  0.3859E-05
  60.00  0.5737E-04  0.1262E-04  0.4294E-05
  61.00  0.5732E-04  0.1349E-04  0.4016E-05
  62.00  0.5826E-04  0.1372E-04  0.4090E-05
  63.00  0.5937E-04  0.1377E-04  0.4232E-05
  64.00  0.6019E-04  0.1384E-04  0.4316E-05
  65.00  0.6042E-04  0.1403E-04  0.4300E-05
  66.00  0.6037E-04  0.1411E-04  0.4272E-05
  67.00  0.6062E-04  0.1383E-04  0.4334E-05
  68.00  0.6111E-04  0.1323E-04  0.4435E-05
  69.00  0.6002E-04  0.1316E-04  0.4292E-05
  70.00  0.6050E-04  0.1227E-04  0.4415E-05
  71.00  0.5831E-04  0.1205E-04  0.4199E-05
  72.00  0.5843E-04  0.1072E-04  0.4260E-05
  73.00  0.5657E-04  0.9763E-05  0.4089E-05
  74.00  0.6171E-04  0.6508E-05  0.4481E-05
  75.00  0.6991E-04  0.2468E-05  0.4913E-05
  76.00  0.4978E-04  0.5699E-05  0.3351E-05
  77.00  0.3568E-04  0.6780E-05  0.2398E-05
  78.00  0.2744E-04  0.6195E-05  0.1862E-05
  79.00  0.2112E-04  0.5132E-05  0.1443E-05
  80.00  0.1578E-04  0.3964E-05  0.1082E-05
  81.00  0.1122E-04  0.2858E-05  0.7678E-06
  82.00  0.7444E-05  0.1905E-05  0.5055E-06
  83.00  0.4491E-05  0.1154E-05  0.3015E-06
  84.00  0.2409E-05  0.6138E-06  0.1577E-06
  85.00  0.1093E-05  0.2715E-06  0.6781E-07
  86.00  0.3514E-06  0.8098E-07  0.1878E-07
  87.00  0.6878E-07  0.1182E-07  0.2036E-08
  88.00  0.2780E-09  0.3556E-10  0.4550E-11
  89.00  0.0000E+00  0.0000E+00  0.0000E+00
 E(MeV)=  0.1177
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3372E-04  0.1709E-05  0.9696E-07
   6.00  0.3404E-04  0.2068E-05  0.1406E-06
   7.00  0.3436E-04  0.2431E-05  0.1928E-06
   8.00  0.3471E-04  0.2801E-05  0.2536E-06
   9.00  0.3507E-04  0.3176E-05  0.3233E-06
  10.00  0.3544E-04  0.3557E-05  0.4019E-06
  11.00  0.3583E-04  0.3944E-05  0.4898E-06
  12.00  0.3624E-04  0.4338E-05  0.5869E-06
  13.00  0.3666E-04  0.4738E-05  0.6930E-06
  14.00  0.3711E-04  0.5141E-05  0.8091E-06
  15.00  0.3757E-04  0.5556E-05  0.9348E-06
  16.00  0.3804E-04  0.5975E-05  0.1070E-05
  17.00  0.3854E-04  0.6401E-05  0.1215E-05
  18.00  0.3906E-04  0.6830E-05  0.1374E-05
  19.00  0.3959E-04  0.7265E-05  0.1551E-05
  20.00  0.4015E-04  0.7703E-05  0.1739E-05
  21.00  0.4074E-04  0.8150E-05  0.1928E-05
  22.00  0.4134E-04  0.8611E-05  0.2117E-05
  23.00  0.4196E-04  0.9074E-05  0.2315E-05
  24.00  0.4261E-04  0.9543E-05  0.2525E-05
  25.00  0.4329E-04  0.1002E-04  0.2745E-05
  26.00  0.4399E-04  0.1050E-04  0.2977E-05
  27.00  0.4471E-04  0.1099E-04  0.3219E-05
  28.00  0.4545E-04  0.1147E-04  0.3469E-05
  29.00  0.4623E-04  0.1196E-04  0.3730E-05
  30.00  0.4704E-04  0.1246E-04  0.3999E-05
  31.00  0.4787E-04  0.1295E-04  0.4277E-05
  32.00  0.4872E-04  0.1345E-04  0.4563E-05
  33.00  0.4961E-04  0.1395E-04  0.4856E-05
  34.00  0.5053E-04  0.1444E-04  0.5157E-05
  35.00  0.5148E-04  0.1494E-04  0.5461E-05
  36.00  0.5246E-04  0.1544E-04  0.5768E-05
  37.00  0.5346E-04  0.1593E-04  0.6083E-05
  38.00  0.5450E-04  0.1641E-04  0.6396E-05
  39.00  0.5557E-04  0.1688E-04  0.6720E-05
  40.00  0.5666E-04  0.1736E-04  0.7033E-05
  41.00  0.5777E-04  0.1783E-04  0.7337E-05
  42.00  0.5888E-04  0.1829E-04  0.7636E-05
  43.00  0.6005E-04  0.1867E-04  0.7997E-05
  44.00  0.6117E-04  0.1909E-04  0.8285E-05
  45.00  0.6226E-04  0.1948E-04  0.8565E-05
  46.00  0.6332E-04  0.1980E-04  0.8861E-05
  47.00  0.6412E-04  0.2023E-04  0.8987E-05
  48.00  0.6493E-04  0.2043E-04  0.9232E-05
  49.00  0.6537E-04  0.2068E-04  0.9307E-05
  50.00  0.6571E-04  0.2064E-04  0.9462E-05
  51.00  0.6596E-04  0.2021E-04  0.9707E-05
  52.00  0.6516E-04  0.2003E-04  0.9450E-05
  53.00  0.6413E-04  0.1935E-04  0.9206E-05
  54.00  0.6301E-04  0.1799E-04  0.9000E-05
  55.00  0.6113E-04  0.1654E-04  0.8323E-05
  56.00  0.5777E-04  0.1571E-04  0.6745E-05
  57.00  0.5578E-04  0.1420E-04  0.5443E-05
  58.00  0.5528E-04  0.1297E-04  0.4386E-05
  59.00  0.5656E-04  0.1261E-04  0.4036E-05
  60.00  0.5741E-04  0.1295E-04  0.4077E-05
  61.00  0.5811E-04  0.1351E-04  0.4001E-05
  62.00  0.5949E-04  0.1363E-04  0.4146E-05
  63.00  0.6064E-04  0.1384E-04  0.4232E-05
  64.00  0.6206E-04  0.1382E-04  0.4398E-05
  65.00  0.6289E-04  0.1396E-04  0.4447E-05
  66.00  0.6285E-04  0.1431E-04  0.4348E-05
  67.00  0.6446E-04  0.1371E-04  0.4599E-05
  68.00  0.6310E-04  0.1417E-04  0.4330E-05
  69.00  0.6335E-04  0.1382E-04  0.4359E-05
  70.00  0.6477E-04  0.1285E-04  0.4575E-05
  71.00  0.6415E-04  0.1236E-04  0.4516E-05
  72.00  0.6371E-04  0.1149E-04  0.4485E-05
  73.00  0.6431E-04  0.9979E-05  0.4536E-05
  74.00  0.6325E-04  0.8710E-05  0.4391E-05
  75.00  0.6860E-04  0.5444E-05  0.4669E-05
  76.00  0.7056E-04  0.3055E-05  0.4560E-05
  77.00  0.4471E-04  0.7070E-05  0.2858E-05
  78.00  0.3360E-04  0.7021E-05  0.2171E-05
  79.00  0.2595E-04  0.6037E-05  0.1692E-05
  80.00  0.1967E-04  0.4789E-05  0.1290E-05
  81.00  0.1426E-04  0.3541E-05  0.9356E-06
  82.00  0.9685E-05  0.2425E-05  0.6329E-06
  83.00  0.6021E-05  0.1515E-05  0.3900E-06
  84.00  0.3347E-05  0.8400E-06  0.2130E-06
  85.00  0.1610E-05  0.3959E-06  0.9809E-07
  86.00  0.6147E-06  0.1433E-06  0.3360E-07
  87.00  0.9088E-07  0.1606E-07  0.2849E-08
  88.00  0.3434E-08  0.4647E-09  0.6291E-10
  89.00  0.0000E+00  0.0000E+00  0.0000E+00
 E(MeV)=  0.1277
  alpha0   Daa         Dap         Dpp
   1.00  0.0000E+00  0.0000E+00  0.0000E+00
   2.00  0.0000E+00  0.0000E+00  0.0000E+00
   3.00  0.0000E+00  0.0000E+00  0.0000E+00
   4.00  0.0000E+00  0.0000E+00  0.0000E+00
   5.00  0.3324E-04  0.1729E-05  0.1003E-06
   6.00  0.3355E-04  0.2092E-05  0.1455E-06
   7.00  0.3387E-04  0.2459E-05  0.1994E-06
   8.00  0.3420E-04  0.2832E-05  0.2623E-06
   9.00  0.3456E-04  0.3212E-05  0.3343E-06
